DivaNr,Color,Red,Green,Blue,PoltroniCode,ImgName,RotAngle
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-1.jpg,10
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-36.jpg,360
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-20.jpg,200
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-24.jpg,240
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-17.jpg,170
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-11.jpg,110
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-2.jpg,20
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-23.jpg,230
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-29.jpg,290
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-19.jpg,190
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-18.jpg,180
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-22.jpg,220
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-2.jpg,20
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-25.jpg,250
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-23.jpg,230
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-34.jpg,340
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-24.jpg,240
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-4.jpg,40
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-33.jpg,330
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-7.jpg,70
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-16.jpg,160
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-1.jpg,10
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-20.jpg,200
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-30.jpg,300
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-9.jpg,90
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-19.jpg,190
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-5.jpg,50
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-29.jpg,290
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-35.jpg,350
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-28.jpg,280
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-12.jpg,120
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-13.jpg,130
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-3.jpg,30
